electron mobility	Ar mobili	ar2 mobi	elediff 	ar diffusio	ar2 diffusio	ar*diffusio
7.21538461538475E+023	3.75E+021	4.5E+021	6.410576923077E+023	9.703125E+019	1.164375E+020	1.658736778845E+022
7.2096153846155E+023	3.75E+021	4.5E+021	6.40673076923075E+023	9.703125E+019	1.164375E+020	1.6577415865375E+022
7.20384615384625E+023	3.75E+021	4.5E+021	6.40288461538475E+023	9.703125E+019	1.164375E+020	1.65674639423E+022
7.198076923077E+023	3.75E+021	4.5E+021	6.3990384615385E+023	9.703125E+019	1.164375E+020	1.6557512019225E+022
7.19326923076925E+023	3.75E+021	4.5E+021	6.39423076923075E+023	9.703125E+019	1.164375E+020	1.6545072115375E+022
7.1875E+023	3.75E+021	4.5E+021	6.39038461538475E+023	9.703125E+019	1.164375E+020	1.65351201923E+022
7.18269230769225E+023	3.75E+021	4.5E+021	6.3875E+023	9.703125E+019	1.164375E+020	1.652765625E+022
7.17788461538475E+023	3.75E+021	4.5E+021	6.38269230769225E+023	9.703125E+019	1.164375E+020	1.651521634615E+022
7.1721153846155E+023	3.75E+021	4.5E+021	6.37884615384625E+023	9.703125E+019	1.164375E+020	1.6505264423075E+022
7.16730769230775E+023	3.75E+021	4.5E+021	6.375E+023	9.703125E+019	1.164375E+020	1.64953125E+022
7.1615384615385E+023	3.75E+021	4.5E+021	6.37115384615375E+023	9.703125E+019	1.164375E+020	1.6485360576925E+022
7.15673076923075E+023	3.75E+021	4.5E+021	6.36730769230775E+023	9.703125E+019	1.164375E+020	1.647540865385E+022
7.1509615384615E+023	3.75E+021	4.5E+021	6.3634615384615E+023	9.703125E+019	1.164375E+020	1.6465456730775E+022
7.14615384615375E+023	3.75E+021	4.5E+021	6.3596153846155E+023	9.703125E+019	1.164375E+020	1.64555048077E+022
7.14134615384625E+023	3.75E+021	4.5E+021	6.35576923076925E+023	9.703125E+019	1.164375E+020	1.6445552884625E+022
